week,matched_bucket,yt_videos,yt_avg_views,yt_avg_likes,yt_total_comments,yt_avg_engagement,views_per_video
2026-03-09/2026-03-15,Film and TV,217,34177.73271889401,841.8202764976959,2527,0.015508648619443966,34177.73271889401
2026-03-09/2026-03-15,Gaming,191,60748.84816753927,697.1937172774869,2527,0.02616381149254834,60748.84816753927
2026-03-09/2026-03-15,Health and Fitness,10,2506.2,9.8,6,0.006957380368253841,2506.2
2026-03-09/2026-03-15,Lifestyle and Hobbies,87,4907.425287356322,79.57471264367815,215,0.02553377331188173,4907.425287356322
2026-03-09/2026-03-15,Music,358,26141.938547486032,578.5949720670391,7309,inf,26141.938547486032
2026-03-09/2026-03-15,Other,135,38446.503703703704,734.4962962962964,1089,0.022198749698262382,38446.503703703704
2026-03-09/2026-03-15,People and Society,16,41784.125,556.625,61,0.02650188226059823,41784.125
2026-03-09/2026-03-15,Politics and World News,1,6343.0,0.0,0,0.0,6343.0
2026-03-09/2026-03-15,Science and Education,82,7825.304878048781,119.1951219512195,892,0.017911407676623088,7825.304878048781
2026-03-09/2026-03-15,Sports,19,38289.36842105263,640.3157894736842,108,0.011984380486739478,38289.36842105263
2026-03-09/2026-03-15,Technology,10,8552.3,194.1,44,0.029412722012252153,8552.3
